"","may","jun","jul","aug"
"hh1",0.72,0.98210989010989,1.44152967032967,2.38414417582418
"hh2",1.44,1.96421978021978,2.88305934065934,4.76828835164835
"hh3",1.70967032967033,3.3801038961039,4.92431808191808,8.64566097902098
"hh4",1.97934065934066,4.79598801198801,6.96557682317682,12.5230336063936
"hh5",2.24901098901099,6.21187212787213,9.00683556443556,16.4004062337662
"hh6",2.51868131868132,7.62775624375624,11.0480943056943,20.2777788611389
